date,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,symbol
2025-04-02,2103.39,2104.63,2121.56,2097.82,151329115,265072518328.96,1.13,0.13,2.75,2.79,399006.SZ
2025-04-03,2078.15,2065.4,2097.67,2057.63,163979246,298990003383.28,1.9,-1.86,-39.23,3.02,399006.SZ
2025-04-07,1925.64,1807.21,1939.27,1756.64,304075576,464672649625.0,8.84,-12.5,-258.19,5.6,399006.SZ
2025-04-08,1837.54,1840.31,1877.44,1812.13,256682141,390333762484.02,3.61,1.83,33.1,4.73,399006.SZ
2025-04-09,1805.46,1858.36,1872.93,1777.25,279452297,418890418530.32,5.2,0.98,18.05,5.15,399006.SZ
2025-04-10,1920.64,1900.53,1944.1,1897.34,256686850,425156587350.3,2.52,2.27,42.17,4.73,399006.SZ
2025-04-11,1885.86,1926.37,1943.43,1884.6,202378237,348882512916.65,3.1,1.36,25.84,3.73,399006.SZ
2025-04-14,1954.05,1932.91,1956.16,1928.63,191935063,323184008045.35,1.43,0.34,6.54,3.53,399006.SZ
2025-04-15,1933.89,1930.4,1940.75,1918.44,168422550,273743106715.87,1.15,-0.13,-2.51,3.1,399006.SZ
2025-04-16,1918.03,1907.11,1919.09,1879.78,170499714,273040794540.48,2.04,-1.21,-23.29,3.14,399006.SZ
2025-04-17,1893.02,1908.78,1923.53,1892.47,150012821,248279994249.17,1.63,0.09,1.67,2.76,399006.SZ
2025-04-18,1904.99,1913.97,1917.59,1898.78,146860953,234120276866.05,0.99,0.27,5.19,2.7,399006.SZ
2025-04-21,1910.9,1944.32,1947.56,1901.81,167432537,277261580693.58,2.39,1.59,30.35,3.08,399006.SZ
2025-04-22,1933.83,1928.43,1939.69,1923.37,171458149,281085874239.67,0.84,-0.82,-15.89,3.16,399006.SZ
2025-04-23,1950.44,1949.16,1962.68,1935.68,199995890,346460823674.24,1.4,1.07,20.73,3.68,399006.SZ
2025-04-24,1946.23,1935.86,1958.22,1930.9,181545884,305859189146.22,1.4,-0.68,-13.3,3.34,399006.SZ
2025-04-25,1941.81,1947.19,1960.63,1937.71,169975509,291634268768.25,1.18,0.59,11.33,3.13,399006.SZ
2025-04-28,1951.16,1934.46,1951.16,1930.06,163721220,263116285053.64,1.08,-0.65,-12.73,3.01,399006.SZ
2025-04-29,1929.27,1931.94,1941.17,1923.86,160186502,270737131156.84,0.89,-0.13,-2.52,2.95,399006.SZ
2025-04-30,1936.12,1948.03,1954.62,1931.84,166717929,293395148611.24,1.18,0.83,16.09,3.07,399006.SZ
2025-05-06,1966.97,1986.41,1988.05,1964.46,204808226,362525483367.02,1.21,1.97,38.38,3.77,399006.SZ
2025-05-07,2024.3,1996.51,2035.47,1982.37,236777340,415025833449.25,2.67,0.51,10.1,4.36,399006.SZ
